714,"5,900","7,000","5,950"
714,"11,000","12,000","12,000"
714,"13,200","15,000","10,000"
714,,,
714,"2,100","1,000","1,700"
714,,,
714,800,"1,400",
714,"108,100","100,000","200,000"
714,"81,800","118,800","20,000"
714,,,"30,000"
714,"171,900","184,000","184,000"
"714 סה""כ","618,600","544,400","655,966"
715,"2,100","45,000","30,000"
"715 סה""כ","2,100","45,000","30,000"
721,,,
721,"1,600","1,200","2,000"
721,"10,000","12,600","13,000"
721,"3,700",800,"4,958"
721,,,
721,"188,100","109,200","226,728"
721,"5,500","7,100","5,100"
721,"29,400","26,500","29,920"
721,,,
721,"5,500",900,
721,"87,800","100,000","100,000"
721,,,
721,"1,200","2,000","10,000"
721,,,
721,"19,000","13,100","13,000"
"721 סה""כ","351,800","273,400","404,706"
722,,,
722,,,
722,,,
722,,,
722,"2,100","2,700","2,040"
722,"8,000","7,300","8,840"
722,,"24,200","24,000"
722,"11,700","23,000","23,000"
"722 סה""כ","21,800","57,200","57,880"
723,"103,300","123,100","107,400"
723,,,
723,"7,000",,"9,380"
723,"30,500","30,000","30,000"
723,,,
723,"35,900","40,000","40,000"
723,"517,400","590,300","530,000"
"723 סה""כ","694,100","783,400","716,780"
724,"1,565,100","1,600,000","1,600,000"
"724 סה""כ","1,565,100","1,600,000","1,600,000"
725,"17,400","1,200","35,000"
"725 סה""כ","17,400","1,200","35,000"
731,"13,400","13,000","13,000"
731,,,
731,"5,100","5,000","8,000"
731,"1,000",,"1,340"
731,"140,700","164,800","165,000"
731,"3,200","1,500","3,500"
731,"41,700","33,900","44,540"
731,"27,300","32,400","33,320"
731,"33,600","33,900","33,900"
731,"37,300","50,000","50,000"
731,"275,800","300,000","300,000"
731,"172,400","190,000","200,000"
731,"302,800","500,000","1,000,000"
731,,,
731,,,
"731 סה""כ",1054300,1324500,1852600
732,,"160,000","100,000"
"732 סה""כ",0,"160,000","100,000"
733,,,
"733 סה""כ",0,0,0
741,,400,
741,"18,100","10,500","18,626"
741,,,
"741 סה""כ",18100,10900,18626
742,"46,400","33,700","61,908"
742,"123,400","89,400","95,676"
742,"70,200","28,900","84,688"
742,"17,100","125,600","10,318"
742,,,
742,,,
742,,,
742,,,
"742 סה""כ",257100,277600,252590
743,"12,400","6,800","16,616"
743,"51,700","43,400","41,808"
743,"3,000","8,500","4,020"
743,"2,842,400","2,844,500","3,000,000"
"743 סה""כ","2,909,500","2,903,200","3,062,444"
744,"233,000","285,000","230,000"
744,"198,500","210,000","250,000"
744,,,
744,,,
744,,"11,300",
744,"31,400","33,400","33,000"
744,"1,679,900","800,000","800,000"
744,"152,600","400,000","100,000"
744,,,
744,"161,100","283,000","210,000"
"744 סה""כ","2,456,500","2,022,700","1,623,000"
745,,,
745,"307,300","305,300","305,300"
745,"19,200","30,000",
745,"95,700","100,000","100,000"
745,,,
745,,,
745,,,
745,"79,600","75,000","95,000"
745,"692,300","866,700","800,000"
745,"373,900","222,000","220,000"
745,,,
745,"1,596,400","1,760,000","1,800,000"
