תרבות,822,"951,800","10,003,600","11,861,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ספריות,823,"1,680,400","1,702,500","1,772,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
רשת המתנסים,824,"5,479,000","5,331,000","5,725,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
תרבות,825,"812,600","69,700","70,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ארועים,826,"7,699,700","1,038,200","1,083,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
תרבות תורנית,827,"1,984,300","1,980,000","2,380,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
תנועות נוער,828,"2,514,700","2,621,900","2,731,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ספורט א.מגרש,829,"2,265,500","2,372,800","2,532,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
טפות חלב,832,"97,800","89,300","102,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
נטן,836,"139,300","272,200","287,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
רשות הסמים,837,"746,100","540,000","540,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
רווחה,841,"2,734,000","1,707,400","1,840,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
רווחה,842,"1,337,400","1,524,800","1,685,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
רווחה,843,"13,614,000","13,236,300","15,191,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
רווחה,844,"5,980,000","6,054,700","6,180,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
רווחה,845,"23,797,900","24,374,100","27,296,741",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
רווחה,846,"8,946,400","9,006,000","10,581,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
רווחה,847,"2,302,400","2,690,500","2,675,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
רווחה,848,"810,600","667,300","495,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
רווחה,849,"4,192,600","4,792,900","5,089,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
מ.דתית,851,"6,999,500","6,009,100","6,132,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
קליטה,860,"719,700","1,100,600","2,516,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
מוקד קליטה,861,"1,043,200","702,800","775,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
פרויקטים בקליטה,862,"1,207,100","1,003,100","1,144,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
מים,911,"199,400","185,800","183,187",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
מים,912,0,0,"80,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
מים,913,"34,182,400","37,630,000","39,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
ביטוחים ונכסים,931,"351,700","353,900","354,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
נכסים,932,"1,200","2,000","2,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
נכסים,933,"139,500","135,000","205,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
קרקעות,935,"33,000","40,000","8,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
שוק,937,"299,000","261,200","279,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
בית העיריה,938,"4,021,400","4,311,700","4,264,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
תחבורה,940,"586,500","534,200","755,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
תנועה,943,"4,502,700","4,073,700","3,978,114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
שפדן,973,"11,624,100","11,550,000","12,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
רכש,980,"63,400","59,100","60,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
שונות,990,"1,756,100","400,000",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
מענקים,994,"3,484,400","3,600,000","4,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
הנחות פנסיונרים,995,"56,712,600","51,000,000","51,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"סה""כ",,"433,302,500","417,880,300","442,634,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,הכנסות,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,סעיף,,שם חשבון ,מחלקה ,ביצוע 2011 ,תקציב 2012 ,הצעת תקציב 2013,,,,,,,,,,,,,,,,,,,,,,,,,,
100,111,1,ארנונה כללית למגורים ,623100,"-306,253,700","-317,000,000","-342,700,100",,,,,,,,,,,,,,,,,,,,,,,,,,
490,111,1,החזר אגרות , ,"-37,300","-39,000","-31,600",,,,,,,,,,,,,,,,,,,,,,,,,,
,"111 סה""כ",,,,"-306,291,000","-317,039,000","-342,731,700",,,,,,,,,,,,,,,,,,0,,,,,,,,
100,112,1,אגרת שיטור ,623100,"-5,593,800","-5,000,000","-4,760,000",,,,,,,,,,,,,,,,,,,,,,,,,,
,"112 סה""כ",,,,"-5,593,800","-5,000,000","-4,760,000",,,,,,,,,,,,,,,,,,0,,,,,,,,
