1,???????,10,????? ???????,0,0,0,0,1111000100,?????? ?????,"? 13,100,000.00","? 12,898,756.02","? 15,500,000.00","? 15,318,979.28","? 18,700,000.00","? 18,973,273.85","? 20,000,000.00","? 21,109,464.05","? 23,500,000.00",? 0.00
1,???????,10,????? ???????,0,0,0,0,1113000100,????? ?????-??????,"? 200,000.00","? 196,937.07","? 230,000.00","? 217,298.95","? 200,000.00","? 234,786.08","? 250,000.00","? 267,755.12","? 500,000.00",? 0.00
1,???????,10,????? ???????,0,0,0,0,1115000100,????? ??????-??????,"? 1,000,000.00","? 1,194,122.62","? 1,300,000.00","? 1,193,311.61","? 1,200,000.00","? 1,347,010.61","? 1,600,000.00","? 1,661,163.35","? 1,600,000.00",? 0.00
1,???????,10,????? ???????,0,0,0,0,1191000910,???? ???? ??????,"? 13,700,000.00","? 13,704,458.64","? 12,640,000.00","? 12,656,264.77","? 13,660,000.00","? 13,660,313.64","? 13,144,000.00","? 13,143,418.55","? 10,516,000.00","? 3,668,198.80"
1,???????,10,????? ???????,0,0,0,0,1192000910,???? ??-???? ?????,"? 9,710,000.00","? 9,708,510.80","? 12,640,000.00","? 12,636,262.20","? 13,800,000.00","? 13,829,739.96","? 15,353,000.00","? 15,551,946.50","? 1,217,000.00",? 0.00
1,???????,20,?????? ???????,0,0,0,0,1212300220,???? ???? ????? ????,"? 672,000.00","? 692,571.00","? 700,000.00","? 707,774.00","? 850,000.00","? 694,191.90","? 780,000.00","? 736,520.00","? 730,000.00","? 115,630.00"
1,???????,20,?????? ???????,0,0,0,0,1212300490,?????? ?????? ????,? 0.00,? 0.00,? 0.00,? 0.00,? 0.00,? 0.00,? 0.00,? 0.00,"? 1,082,000.00",? 0.00
1,???????,20,?????? ???????,0,0,0,0,1214000220,???? ????? ???????,"? 10,000.00","? 29,790.00","? 15,000.00","? 18,900.00","? 20,000.00",? 0.00,? 0.00,"? 42,433.00",? 0.00,? 0.00
1,???????,20,?????? ???????,0,0,0,0,1214000221,??.???? ????? ?????,"? 40,000.00","? 45,743.10","? 60,000.00","? 51,621.30","? 60,000.00","? 49,416.20","? 50,000.00","? 49,295.89","? 50,000.00",? 0.00
1,???????,20,?????? ???????,0,0,0,0,1215000220,???? ????? ??????,"? 25,000.00","? 22,573.00","? 25,000.00","? 22,573.00","? 25,000.00","? 22,573.00","? 20,000.00","? 15,682.00","? 20,000.00",? 0.00
1,???????,20,?????? ???????,0,0,0,0,1222000500,???? ??? ???? ?????-??',? 0.00,"? 4,236.67",? 0.00,? 0.00,? 0.00,? 0.00,? 0.00,? 0.00,? 0.00,? 0.00
1,???????,20,?????? ???????,0,0,0,0,1222100990,??????-???? ?????,"? 6,000.00","? 4,830.00","? 6,000.00","? 4,740.00","? 6,000.00","? 4,567.00","? 6,000.00","? 6,165.00","? 6,000.00",? 0.00
1,???????,20,?????? ???????,0,0,0,0,1227000970,???? ????-????,"? 2,050,000.00","? 2,033,815.00","? 2,030,000.00","? 1,968,809.00","? 1,700,000.00","? 1,696,310.00","? 2,200,000.00","? 2,002,839.01","? 2,200,000.00",? 0.00
1,???????,20,?????? ???????,0,0,0,0,1231000220,??.?????? ???.?????,"? 15,000.00","? 29,450.00","? 15,000.00","? 36,800.01","? 30,000.00","? 60,600.00","? 30,000.00","? 24,850.00","? 30,000.00",? 0.00
1,???????,20,?????? ???????,0,0,0,0,1231000590,????? ???? ???? ?????,"? 300,000.00",? 0.00,? 0.00,? 0.00,? 0.00,? 0.00,? 0.00,? 0.00,"? 500,000.00",? 0.00
1,???????,20,?????? ???????,0,0,0,0,1233000220,???? ??????? ????,"? 1,200,000.00","? 1,631,315.23","? 2,850,000.00","? 2,866,761.85","? 942,000.00","? 913,660.21","? 1,160,000.00","? 1,199,407.30","? 1,500,000.00",? 0.00
1,???????,20,?????? ???????,0,0,0,0,1233000221,????? ?????-????? ?????,? 0.00,? 0.00,? 0.00,"? 1,350.00",? 0.00,? 135.00,? 0.00,? 400.00,? 0.00,? 0.00
1,???????,20,?????? ???????,0,0,0,0,1242000290,?????? ??????? ?????,"? 1,000,000.00","? 630,989.04","? 800,000.00","? 1,091,416.00","? 1,400,000.00","? 1,444,001.00","? 1,035,000.00","? 1,046,273.00","? 1,500,000.00","? 78,900.00"
